mansi,rus
"Посыӈ лё̄ӈхыл минуӈкв сёпитастэ,","Светлую дорогу мне подготовила,"
"Э̄лаль ёмсякв ōлнэ мāгыс,","Чтобы жить было хорошо,"
Ома пуссын ханисьта̄лыс.,Всему меня мама учила.
Пӯмасипа! Тыныӈ ома!,Спасибо! Дорогая мама!
Наӈын сака янытлылум!,Тебя я восхваляю!
Пӯмасипа!!! Ам са̄в сёс лāвēгум,"Спасибо!!! Много раз буду повторять,"
Намын сымыт ам ōньсилум.,Что тебя держу в своём сердце.
Ōлэн о̄с са̄в ёмас хōтал!,"Живи долго, много хороший дней!"
"Посыӈ хōтал пӯмсялым,","Светлым дням радуйся,"
"Лю̄ль ос во̄тас турман хōтал,",А плохие и ветреные тёмные дни
Мось вос ōлы юв-хультым!,Пусть останутся позади!
Ӯлум э̄рыг,Колыбельная
Нё̄тнэ са̄с āпаквēн,В красивую берестяную люльку
Мāнигтылум āгириськем.,Уложу свою доченьку.
Лэ̄ӈын сов рēгыӈ лэ̄птал,Беличьим тёплым одеяльцем
Āгим лэ̄псалылум ам.,Укрою свою доченьку.
"Ятил мāнь āгириськем,","Милая моя малышка,"
"Ам āги лӯптатем,","Моя девочка — мой цветочек,"
"Хансаӈ самтēгын лап-пантэ̄гын,","Голубые глазки свои закрой,"
Ёмасякв вус оявен.,Чтобы хорошо уснула.
"Ӯлмыл, āгикве, яныгмēгын,","Вместе со сном, доченька, подрастаешь,"
Ка̄сыӈ хōтал тāкмēгын.,С каждым днём крепнешь.
"Тӯяг ӯйрисьт ёхтэ̄гыт,","Весной прилетят птицы,"
Хāйтыгтан ё̄рыл тōтавен.,"Сил тебе дадут, чтобы бегать на ножках."
"Ам тыныӈ сым тāрсум,","Моя дорогая жилочка сердца,"
"Ам кēлуп тāрсыкем,","Моя кровиночка,"
"Тыныӈ āги лӯптатем,","Дорогая моя доченька-цветочек,"
"Ам āги посыхтем,","Моя доченька-наследница,"
Мось сар ёл торамла̄лэн.,"Немного успокойся,"
"А̄нум урак мось майлэн,","Дай мне немного времени,"
Ты ӯлум э̄рыг ёт,Я с этой колыбельной песней
Ам о̄с мось юнсэ̄гум.,Тоже немного вздремну.
"Тыныӈ мāтем,","Дорогая моя земля,"
"Сыстам а̄тем,","Чистые мои реки,"
"Посыӈ хōтал,","Светлые дни,"
Совыӈ э̄т!,Звездные ночи!
"Карыс нё̄ртем,","Высокие мои горы,"
"Ялпыӈ вōртем,","Священные мои леса,"
"Салыт мāгыс,","Пастбища оленей,"
Войкан тэ̄п!,Пища для оленей.
"Сāлы пӯӈыт,","Оленьи стада,"
"Таглыӈ суныт,","Оленьи упряжи,"
Нё̄рт ялэ̄гыт,По Уралу передвигаются
Тыгле-тув.,Туда-сюда.
"Сюниӈ мāтем,","Счастливая моя земля,"
"Нё̄тнэ татем,",Ты такая красивая.
"Мāньси мирум,",Моего мансийского народа
Ōлнэ мā!,Эта земля.
Са̄нумн,Маме
"Пōлям вōт тыхōтал вōты,","Холодный ветер сегодня дует,"
"Асирмай патыс таквсы хōтал,","Студёным стал осенний день,"
Сымум ка̄сэ аквай холы.,На сердце радость стихла.
"Наӈ, са̄ня, хосат ōлэ̄гын,","Ты мама, далеко от меня живёшь,"
Ам яныг хōтпаг ēмтсум,И я стала уже взрослой…
"Сёровн наӈ тāлын ōлуӈкв лю̄ль,",Но без тебя мне всё равно плохо.
"Мовинтэ̄гум наӈ ма̄гсылын,","Если я смеюсь, то для тебя,"
"Э̄ргēгум наӈ ма̄гсылын,","Если я пою, то для тебя,"
"Ханисьтахтэ̄гум наӈ ма̄гсылын,",И учусь я для тебя…
"Наӈ туп ёмасякве ōлэн, са̄ня,","Только ты живи хорошо, мама,"
"Ейрисюм тувыл а̄псирисюм янмалтэн,","Вырасти моих сестрёнку и братика,"
"Иӈ сака мāньрисиг тэ̄н,",Ведь они ещё совсем малы.
"Ам ёхтэ̄гум тыгыл,","Я приеду к тебе,"
"Мовинтаӈкв наӈ ма̄гсылын патэ̄гум,","И буду смеяться для тебя,"
"Э̄ргуӈкв наӈ ма̄гсылын патэ̄гум,","И буду петь для тебя,"
"Наӈ туп ёмасякв ōлэн, са̄ня,","Только ты живи хорошо, мама,"
Ам тай ёхтэ̄гум…,Я ведь приеду…
"Тэ̄лыйыг ēмты, тӯйт паты,","Когда настанет зима и выпадет снег,"
"Лильпи тāл ёхты пēнтхатуӈкв ты тāл ёт,","Когда придёт новый год, чтоб заменить этот год,"
Тōнт ам а̄вин ло̄хуӈкв патэ̄гум.,Тогда я постучусь в твою дверь.
"Я̄тил тыныӈ, мāньси хо̄тпа!","Милый, дорогой мансийский народ!"
Хоталь минас пēс ōлум ōлупсан?,Куда подевался твой прошлый уклад жизни?
Хоталь минас пēс ōлум ё̄рын?,Куда утратилась твоя прошлая сила?
Манрыг то̄нт наӈ ōлуӈкв ха̄ссын —,Почему тогда ты умел жить —
Манрыг то̄нт наӈ сюнюӈкв ха̄ссын?!,Почему тогда ты умел радоваться?!
"Я̄тил миркве са̄йкалэ̄н,","Милый народ, пробудись,"
Тыныӈ миркве номтыгтэ̄н,"Дорогой народ, опомнись,"
Пēс о̄лум сирын сымыт о̄ньселн.,Прошлые традиции в сердце храни.
Посыӈ хōтал пӯмсялэ̄н —,Чтобы как раньше радоваться солнечным дням —
Са̄нь ла̄тӈын ул ё̄рувлэ̄лын!,Нужно помнить свой материнский язык.
Ам самын патум па̄влум,"Село, в котором я родилась"
Ам самын патум па̄влум,"Село, в котором я родилась"
Тӯйтыл лап-вōтаставес.,Сегодня заметено белым снегом.
"Тыт мо̄лты тāл пāвыл пусын хот-ё̄свес,","Здесь в прошлом году бушевал пожар,"
"Ам сымум сома лāкква патыс,",И сердце моё словно распалось на кусочки.
"Воссыг сымумн ляпа нэ̄мāтыр пāвыл āтим,","Ведь роднее моего села нет другого места,"
Туп ам яныгмам пāвлум тот хультыс.,Лишь оно одно живёт в моём сердце.
"Хосат хот-минасум,","Я давно покинула село,"
"Саль, на̄врамыг ōлнэ порам тыт ат холас.","Жаль, но моё детство уже прошло."
"Тыхōтал хосат ōлэ̄гум,","Сегодня я живу вдали от дома,"
"Туп сымум, тувыл номтум номēг пусын.",Только в сердце и в памяти оно навсегда.
"Ты āӈквал, татык сып,","Этот пенёк и тот пригорок,"
"Хотыл мāн, на̄врамыт, тэ̄лы тахсысув.","С которого мы, дети, зимой катались."
"Татык тятьтялахтын лāкв,","То железное колечко качелей,"
Āсюм ляпа руматэ хуньт мāнавн вāрыглас...,Которое смастерил нам папин русский друг…
"Саль, воссыг нэ̄мхуньт тыйи ат кāсалэ̄гум ...","Жаль, больше это не увижу никогда…"
"Туп сымумт, тувыл номтумт хультсыт.",Только в сердце и в памяти это осталось.
"Номилум, сома са̄р ань ты...","Помню всё, и живу я прошлым…"
"Саль, тыт мо̄лты тāл уля тэ̄с...","Жаль, здесь в прошлом году бушевал пожар…"
Хокку,Хокку
"Ёнгын ут тыпылтым,","Игрушку потеряв,"
Самвит ул со̄сэн...,Слёзы не лей…
"Пус ка̄т, пус лāгыл.","Пусть руки будут целы, пусть ноги будут целы."
"Хо̄тал нупыл сунсым,","Когда на солнце смотришь,"
Самагын лап-тотавēг...,Глаза сами закроются…
Э̄тийыг та ēмтыс.,Наступит ночь.
"Во̄р хосыт ха̄йтсум,","По лесу бегала,"
Лё̄хъа̄сум тӯп на̄ӈки...,Моя маленькая тропинка еле виднеется…
"То̄рум ёт, о̄тыр ёт.","Живи в гармонии с природой, с духами-покровителями."
"Хо̄тал покапас,","Солнце всходит,"
Э̄тпос хулиглас...,Месяц всходит…
о̄выл ла̄тыӈ: «Ома».,А первое слово: «Мама».
Юван-о̄йка,Юван-богатырь
Посвящается памяти Ювана Шесталова,Посвящается памяти Ювана Шесталова
"Я̄тил хум-а̄тыл э̄л та минмыгтасын,","Дорогой мужчина-богатырь, вдаль ты собрался,"
"Я̄тил хум-капай тувле та ӯсувласын,","Дорогой мужчина величественный, туда ты перешагнул,"
"Ювле миннэ лё̄ӈхын лап та пантапавес,","В обратную сторону дорога твоя уже закрыта,"
Ювле ё̄хнэ лё̄ӈхын лап та то̄варттавес.,"Чтобы развернуться в обратную сторону, дорога заперта,"
"Ва̄рум ва̄рмалян мирн хультуптасын,","Ты свои дела, что сделал, людям оставил,"
Мирн урыл ла̄тыӈ ла̄вуӈкв ха̄сыгласын.,"Ты о людях своих слово умел сказать,"
"Наӈ хосытн хо̄тпат ка̄санл са̄вмалта̄лсыт,","Благодаря тебе народ радость свою приумножал,"
Наӈ хосытн хо̄тпат ёрыӈыг ё̄мыгта̄лсыт.,Благодаря тебе народ твой с гордостью ходил.
"Со̄тыӈ-сюниӈ ма̄квен наӈ та оссувласын,","Счастливую-богатую землю свою оставил,"
То̄рум нупыл тувле тув та тыламласын.,В сторону Торума ты взлетел.
"Сумылла̄лум суйыӈ во̄тын э̄л тотаве,","Звук твоего слова по земле ветром разносит,"
Мираа̄лум посыӈ витын ат харыгтаве.,"Свет твоей жизни не потушат даже воды,"
"Юван-о̄йка намын мирытн янытлаве,","Юван-богатырь, имя твоё народ прославляет,"
Юван-о̄йка намын мирн ат ёрувлаве:,"Юван-богатырь, имя твоё народ не забудет."
"«Тамле няӈра хо̄тпа ма̄н ляпавт та о̄лум,","«Такой сильнейший человек жил рядом с нами,"
"Э̄рге, потре, мо̄йтэ аквтоп а̄ хольт овум,","Песня его, слово сказка, подобно реке текла,"
"Тамле яныг мутрал тав та пиныгла̄лвес,","Такой большой мудростью он был одарен,"
Тамле яныг номтыл тав та ла̄выгла̄лвес».,Таким большим умом он был завещан».
"Я̄тил хум-а̄тыл ань э̄л та минмыгтасын,","Дорогой мужчина-богатырь, сейчас ты вдаль собрался,"
"Ма̄ньси хо̄тпа сирыл тув та атхатасын,","По мансийским обычаям ты подготовился,"
"о̄тыр намыл намын ань та намаяве,","Отыром (богатырём) твоё имя будет сопровождаться,"
о̄тыр суйы̄л суйын ань та суйялаве.,Величием богатырей имя твоё будет.
